ROCO_81826	 Model bone showing the extent of graft insertion
ROCO_87606	 Papulonodular lesion on the scalp.
ROCO_87607	 Schematic illustration of the dichotic listening procedure in which two different consonant–vowel syllables are presented simultaneously, one syllable in the left ear and the other in the right ear. The task of the subject is to report the syllable heard/perceived on each trial. A trial with the syllable /ba/ presented in the left ear and the syllable /ta/ presented in the right ear is shown.
ROCO_87608	 Dissected preparation. The large and smaller tubes have been removed and the new nerve structures lay bare. Eight new nerve structures are visible.
ROCO_87609	 In-house fabricated high-contrast resolution phantom
ROCO_87613	 Through-and-through defects caused by trephine bur in dog mandible
ROCO_87614	 Cleaned granulated scrotal and perineal wound ready for grafting
ROCO_87615	 Subdeltoid region of the left shoulder. Observe the coracohumeral ligament extending from the outer border of the horizontal limb of the coracoid process to both tuberosities bridging the intertubercular sulcus; also the triangular coraco-acromial ligament and the compactness of the rotator muscles which fuse with the fibrous capsule forming the musculotendinous cuff before they insert into the superior portion of the anatomic neck of the humerus. Note that the lower fibers of the subscapularis muscle anteriorly and the infraspinatus muscle and the teres minor posteriorly insert directly into the shaft of the humerus. (From DePalma, Surgery of the Shoulder [4].)
ROCO_87616	 Vitreous strand from behind the lens blocking the lumen of the tube
ROCO_87617	 Flap planning sketch
ROCO_87618	 The figure illustrates the inverse relationship between the activity of primary sclerosing cholangitis (PSC) and ulcerative colitis (UC); however, it is important to realize that the severity of PSC does not influence the risk of colon cancer.
ROCO_87619	 José Miguel Muñoz González of México.59
ROCO_87620	 TEM image of a chain of carbon nanotetrahedra/nanoribbons.The arrows and arrowheads indicate tetrahedra and parts of the tube, respectively.
ROCO_87621	 Preoperative image of the vesical lesion originating in the anterior aspect of the bladder neck, visible resection loop.
ROCO_87622	 Glottis following modified frontolateral partial laryngectomy. The white lines are polylines of the glottic area. The scale is a standard for the glottic area. Software measured the area of glottis with the scale and the polylines.
ROCO_87623	 Control
ROCO_87624	 Post-cystectomy visualization of maxillary bone defect augmented with autogenic pre-osteoblasts on allogenic scaffold using InVivo anatomage software
ROCO_87625	 Anagnorisma eucratides female genitalia ZSM N4212 HT.
ROCO_87626	 Photograph showing presence of bright red fluorescence of upper and lower central incisors under Wood’s lamp examination
ROCO_87627	 Location of cholesteatoma within the tympanic cavity (T): (A) Axial CT scan of the petrous bone shows attic cholesteatoma located in the attic region lateral to the ossicles (T1). (B) Axial CT scan shows tympanic cholesteatoma located in the tympanic region medial to the ossicles (T2). (C) Coronal CT scan shows atticotympanic cholesteatoma filling the whole middle ear cavity (T3).
ROCO_87628	 Before reconstructing the defect, the epidermis was removed from part of the flap in the tunnel.
ROCO_87629	 Epstein-Barr virus (EBV)–infected B cells in the brain in secondary progressive multiple sclerosis (MS). EBV-infected B cells are localized in perivascular inflammatory infiltrates in the white matter and in meningeal inflammatory infiltrates overlying the cortex, with the highest concentration of EBV-infected B cells in meningeal infiltrates that resemble lymphoid follicles with germinal centers. The white areas in the cortex and white matter represent demyelinated regions. This distribution of EBV-infected B cells in the MS brain is based on the study of Serafini and others (2007).
ROCO_87630	 4-chamber long axis image. Septal hypertrophy and hypertrophy of the apical portion of the RV and a potential calcification in the apical septum (hypointense signal area — arrow).
ROCO_87631	 Spatial distribution of S. haematobium and P. falciparum infections in Kalifabougou, Mali at enrollment (May 2011).Shapes indicate infected and uninfected cases as noted. Large colored circles show significant, unadjusted clusters: green circle = cluster of co-infected cases in May 2011 (27 cases, n = 158, relative risk [RR] = 6.51, P<0.0001, Bernoulli model); red circles = clusters of P. falciparum infections in May 2011 (cluster 1: 35 cases, n = 41, RR = 1.90, P<0.001; cluster 2: 12 cases, n = 12, RR = 2.15, P = 0.04, Bernoulli model). Map data: Landsat image obtained from glovis.usgs.gov (latitude: 12.952, longitude: −8.173, imagery date: March 2011).
ROCO_87632	 Detection of intima-media thickness in ultrasound carotid artery image.
ROCO_87633	 Extracted brain tissue that was fixed for several days. The olfactory bulbs (OB), the cortex, the hippocampus (Hipp), and the cerebellum can easily be distinguished from adjacent brain regions. Due to the removal of the brain from the surrounding tissue, some damage can be noted, as e.g., in the cerebellum or the OB (indicated by arrows).
ROCO_87635	 An approximately 2.5 cm incision was made in the stoma for cancer with significant infiltration to the surrounding tissues.
ROCO_87636	 Overview of lung count quantification. Horizontal dashed lines indicate the trans-axial cut-off levels for bilateral exclusion zones, 1.5 cm above each diaphragm apex. Background-corrected total lung counts were calculated from the lung mean count density above the exclusion zones.
ROCO_87638	 Erythematous candidiasis of tongue
ROCO_87639	 Transversal linear measurements on the study casts.
ROCO_87640	 Diagram of the unsafe zone of dissection around the anterior superior iliac spine and the inguinal ligament.
ROCO_87641	 (a) A post-contrast gradient echo (TR/TE = 4.4/1.1 ms) 1.5 T MRI from a 51-year-old woman with invasive ductal carcinoma demonstrating single-voxel 1H magnetic resonance spectroscopy (1H-MRS) voxel positioning. (b) The corresponding water and lipid suppressed single-voxel 1H-MRS spectrum acquired from the voxel, indicating the resonances present. Spectroscopy parameters: PRESS single voxel 15 × 17 × 20 mm, TR/TE = 3,000/125 ms, 128 averages, CHESS water suppression, MEGA/BASING lipid suppression. ppm, parts per million; tCho, total choline-containing resonance.
ROCO_87642	 Intraoperative findings of a chondral lesion stage IV according to Outerbridge. Patient in beach chair position, view from the anterior portal onto the humeral head
ROCO_87643	 Patient with extensive hypersalivation (drooling): he is not able to swallow and so looses the saliva out of the mouth. He suffered from a "herpes-encephalitis" some years ago in his childhood.
ROCO_87644	 Platelet-rich fibrin gel obtained from the middle layer of the blood sample after centrifugation.- Platelet-rich fibrin gel obtained from the middle layer of the blood sample after centrifugation.
ROCO_87645	 Patient photograph. Photographic image of the eye of Patient 2.
ROCO_87646	 A PROSE device being filled with sterile saline solution.
ROCO_87647	 Pilot image with six panels and interface outlines. Pilot image oriented with top = cephalad, bottom = caudad, right = skin. Six green boxes = 6 panels where 16 line panels of radiofrequency data were acquired on this artery. Various colored curving lines = intimal and adventitial walls traced by the sonographer in each panel. Yellow line = Doppler beam pattern at the location of highest velocity. Blue line = artery axis. Black arc = 60° Doppler angle between blue and yellow lines. The gray color stripe represents the dimensional scale along the artery (mm).
ROCO_87648	 (a) Aortic arch angiography showing elongated and tortuous supra-aortic trunks. (b) and (c) After multiple attempts, it was impossible to make a stable catheterization of the left common carotid artery. Numerous catheters and wires could not be passaged distally in the common carotid to permit exchange of the diagnostic catheter for a shuttle sheath or a balloon-guiding catheter.
ROCO_87649	 Tumor was exposed
ROCO_87650	 Flat anterior chamber two days after trabeculectomy. The bleb and anterior chamber are flat and the intraocular pressure was elevated to 33 mmHg.
ROCO_87654	 Raised ONSD (0.67cm), ocular ultrasound was performed using Sonosite™ M-turbo (SonositeInc, Bothell, WA,USA) ultrasound
ROCO_87655	 Elderly patients often present with atypical symptoms other than chest pain
ROCO_87656	 CARTO-UNIVU image showing electroanatomic voltage map in the right anterior oblique projection with overlaid coronary angiogram.
ROCO_87657	 One side was discontinuous small incisions. The pedicle nails were screwed along the Kirschner wire.
ROCO_87658	 Frontal view of the left shoulder showing the anatomy of the accessory tendon. The deltoid muscle has been reflected.
ROCO_87660	 Oblique plication.
ROCO_87661	 The site of incision.
ROCO_87662	 Two limbs of circle system tube and shaft of supra-glottic device anchor the system like a tripod distributing the force evenly
ROCO_87664	 Colonoscopy showing a non-obstructing low sigmoid mass (arrow) 15-20 cm from the anal verge.
ROCO_87666	 Position of the Pituitary Gland in the Head. With permission from the Pituitary Society and licenced from Thinkstock by Getty Images
ROCO_87667	 F Ruysch, ‘Epistola anatomica’ (1721), Tab. 13, drawing by Jan Wandelaar. The letter T (on the left) indexes the rete mirabile. (Herzog August Bibliothek Wolfenbüttel. M: Ma 148.)
ROCO_87668	 Immediately after composite core build up 11 and 21
ROCO_87669	 Line drawing shows how mandibular cortical width and other measurements are made.
ROCO_87670	 Clinical photograph of the patient's leg at presentation to our unit. A clear mark can be seen at the level of the fibular neck where the compression stocking had been tight.
ROCO_87671	 LMA insertion for deep sevoflurane sedation, used for dental treatment.
ROCO_87672	 Case example of variability of visual estimation and quantitative coronary angiography (QCA) for jailed side branch lesions.Angiographic percent diameter stenosis was assessed by 3 observers and 3 different QCA systems (Data from the study by Shin DH et al.[32]).
ROCO_87673	 Measuring buccolingual inclinations of maxillary molar using ABO gauge
ROCO_87676	 Additional suture placement with spinal needle while maximally pulling the tendon into the joint using an arthroscopic grasper.
ROCO_87677	 Port placement for robotic-assisted vesicovaginal fistula repair: C = 12 mm camera port; R = 8 mm robotic ports located on lateral edge of rectus muscles; S = 5 mm suction port; A = 12 mm assistant port located superior and medial to anterior superior iliac spine.
ROCO_87678	 Percutaneously observable FS signal in a lymphatic vessel. The second mammary glands are stained by FS (arrow head), and the afferent lymphatic vessel is stained by FS (arrow)
ROCO_87680	 Trading effects?Chloramines do not create toxic by-products like chlorination but may increase residents’ lead exposures.
ROCO_87681	 Different areas of interest may be annotated accordingly using respective labels in different colors. This can be done in the same slide in the case of metastasis. (Blue and Gold depict areas which are easy to segment while Red and Green depict more complex areas).
ROCO_87684	 Mini trivector: schematic view of the approach (right knee)
ROCO_87685	 Pre- (A), peri- (B), and post-procedural (C) angiography of the balloon pulmonary valvoplasty in neonatal critical pulmonary valve stenosis.
ROCO_87687	 The thrombus aspirated from LCx
ROCO_87688	 Placement of surgical clip at the puncture point to prevent spillage of bile.
ROCO_87689	 White arrow indicates blue/grey discoloration of lips.
ROCO_87693	 Scintigraphic images of Lu-177-phytate in wild-type rat tissues 1 week post intravenous injection
ROCO_87694	 Predicted position of the lag screw and determination of required lag screw length.
ROCO_87695	 Left half of the image is a sagittal MPR image revealing triple ectopia in a single image. All ectopic nodules are separated by a few mms. The lingual nodule is just behind a small depression or sulcus and is partly buried in the tongue. Right half of the image is a frontal isotope scan shows two hot spots or areas of uptake. The upper one is between submandibular glands and in the midline typically corresponding to lingual ectopia. The lower and larger uptake is due to combined pre-hyoid gland and enlarged pyramidal lobe
ROCO_87696	 Bringing both tubal ends together so no tension applied on the anastomosis sutures.
ROCO_87697	 Slit-lamp fluorescein corneal staining image of the right eye showing complete resolution of corneal ulceration 4 weeks after treatment discontinuation
ROCO_87698	 Squamous cell carcinoma. Treatment borders post-PpIX fluorescenceDotted line: GTVSolid line: CTV2Hash line: edge of the radiotherapy field border for treatment*: Study CTV measurement used for comparison
ROCO_87699	 High-resolution transmission electron microscopy (HRTEM) image of a C60 particle in the C60/Cu2SnSe3 composite.
ROCO_87700	 Anterior segment photograph showing a posterior chamber phakic intraocular lens implantation.
ROCO_87701	 Probing of a posterior labral tear of the left shoulder, as seen from the anterior portal
ROCO_87702	 Endoscopic examination revealed a pediculated lesion, with the base near ileocecal valve, occupying most of ascending colic lumen.
ROCO_87703	 (a) LV long axis images. Software identifies the mitral valve using hinge to hinge method. LV = Left ventricular
ROCO_87704	 Change in land cover type from 1990 to 2010 near Port O’Connor, Texas.
ROCO_87705	 Heat diffusion map taken by the IR camera.
ROCO_87706	 Tridimentional reconstruction of wet AMD (Fourier-Domain OCT).
ROCO_87707	 Large single grain wafers for 1-inch (left) and 2-inch (right) crystals.
ROCO_87708	 Michael Foster. Photography by G. Jerrard, 1881. (Wellcome Library, London.)
ROCO_87709	 Doppler echo showing gradient of 60 mmHg through pulmonary valve.
ROCO_87710	 Ultrasonographic imaging reconstruction by Virtual Histology®; the four components of the plaque are characterized by different colors (green, light green, red and white). The medium layer (according to visualization by conventional intracoronary ultrasound) is identified by the gray color. M: medium layer.
ROCO_87711	 Fluorescein uptake in the area of conjunctival and sclera erosion.
ROCO_87712	 The total MDQ scores were negatively correlated with activations in the many channels (ch3-7,11,14,16; rho>-0.33; see blown and red circles). A multiple linear regression selected significant frontal activations using MDQ as a dependent variable. Stepwise method revealed that activation in ch14 (green circle) was negatively associated with bipolar tendency (beta=-0.31, P=0.04); this regression model was significant (R2=0.10, F=4.5, P=0.04).
ROCO_87714	 Lower hemisternotomy incision.
ROCO_87715	 Bulbospongiosus muscle (red). Adapted from Public Domain: Wikipedia, 15.4.2015 at 12h00, available from https://en.wikipedia.org/wiki/Bulbospongiosus_muscle#/media/File:Bulbospongiosus-Male.png.
ROCO_87718	 6 months postoperative radiograph.
ROCO_87719	 Photograph of the experimental set-up used to measure wound distension upon the application of a lateral force during NPWT. Negative pressure was applied with or without a rigid disc placed between the heart and the edges of the sternum. Two 6-0 steel wires were secured around the ribs on each side of the sternum and attached to a custom-made traction device. The traction device was connected to a force transducer and a recorder. Negative pressures of 0, -40, -70, -120 and -170 mmHg were applied. The wound width was measured when traction forces between 0 and 320 N were applied to the lateral edges of the sternotomy.
ROCO_87721	 TAMIS port (with three small ports) in situ prior to the start of ETART.
ROCO_87722	 Pathology of blast: (SZ/OEMU/3/4/3), Zuckerman Archive, University of East Anglia.
ROCO_87723	 Thoracic epidural catheter lying in the intercostal space.
ROCO_87725	 Delineation and calculation of MVO by drawing the relevant contours: white area demonstrates the area of infarct, while the black area within shows the extent of microvascular obstruction (MVO).
ROCO_87727	 Hypervascular GIST shown on superior mesenteric angiogram.
ROCO_87729	 The kilogram. [Source: BIPM (International Bureau of Weights and Measures/Bureau International des Poids et Mesures, www.bipm.org).]
ROCO_87732	 Maxillary arch width measurements used in this study.ICW, Intercanine width; IPW, interpremolar width; IMW, intermolar width.
ROCO_87733	 Inflammatory bowel disease (IBD) has become common in the Western world, but its causes remain unclear. With the dramatic increase of cases in Asia in recent years—echoing the disease’s drastic rise in the West decades earlier—investigators have another shot at studying environmental contributors to IBD as it emerges in new populations.© SPL/Science Source
ROCO_87737	 Post-operative six months view of the donor site. There is no scar.
ROCO_87739	 Observations on Petri dish of 8 inch diameter
ROCO_87741	 Francis Bacon—Study for Portrait II, 1953. © The Estate of Francis Bacon. All rights reserved. DACS 2013.
ROCO_87742	 Pentacam image of a retropupillary fixated iris-claw lens.The picture shows the anterior segment with the IOL located just behind the iris (arrow). The IOL is located in a safe distance from the corneal endothelium
ROCO_87743	 The tip of a size 4 infant feeding tube is passed between the layers of gauze
ROCO_87744	 Scheimpflug image showing the measurement of the endothelial distances from the edges and center of the intraocular lens.Abbreviation: PNS, Pentacam nucleus grading system.
ROCO_87745	 Cross-section through the hippocampus at the level of the red nucleus in a normal control, obtained using a 7T gradient-recalled echo sequence. DG = Dentate gyrus, CA1–3 = cornus ammonis subfields 1–3, sp = stratum pyramidale, srlm = stratum radiatum/stratum lacunosum-moleculare, EC = entorhinal cortex. Scale bar 1 mm. Image has been reproduced courtesy of Dr. Geoffrey A. Kerchner. (High resolution version of this image is available in the electronic supplementary material.)
ROCO_87746	 Mometasone implant in place holding the right middle turbinate against the nasal septum.Abbreviations: LW, lateral nasal wall; EC, ethmoid cavity; MT, middle turbinate; NS, nasal septum.
ROCO_87747	 Early post-operative view after vacuum assisted closure was applied.
ROCO_87748	 Abdominal cavity cast with porcine colon placed in situ. Fixed attachment points are marked with an “X” while load-measuring attachment points are marked with an “O”. Note that the test bed also included a cover to further constrain the colon, but this is not shown
ROCO_87749	 A: Electrocardiogram showing low-voltage QRS complexes in limb leads. B: Echocardiogram showing thickened ventricular walls and a thickened ventricular septum with nonhomogenous granular sparking echoes. LV: left ventricle, RV: right ventricle, LA: left atrium, Ao: aortic outflow
ROCO_87750	 In-treatment picture
ROCO_87751	 Radiographic appearance of teeth. The talon cusps are represented by white arrows and the black arrows indicate the traced pulp tissue in talon cusps.
ROCO_87752	 Class II MOD cavity, prepared and unrestored premolar
ROCO_87754	 Photoshop-enhanced image showing initial deposition pattern of non-gelling control solution (red) and additional distribution 120 s after actuation (green) (image shows single representative spray).
ROCO_87755	 Preoperative picture of 25-year-old female complaining of black-colored gums
ROCO_87756	 FBP-IM reconstruction of the thyroid phantom with d ω = 0.005 rad.
ROCO_87758	 Double crown technique for laparoscopic ventral hernia repair
ROCO_87759	 L-incision approach (combined partial median sternotomy and left thoracotomy using 6th intercostal space) for extended total arch replacement.
ROCO_87760	 Blood unit with spontaneous cold auto-hemagglutination phenomena (closer look)
ROCO_87762	 Digitally reconstructed radiograph of the scapula field including axillary lymph nodes, supraclavicular lymph nodes, and the upper mediastinal lymph node area.
ROCO_87763	 The whole hair extracted with its tail which was extracted from the small bowel.
ROCO_87764	 A new look at the B-DNA X-ray diffraction pattern photographed by Franklin and Gosling [reproduced with permission from (1)]. Thin solid lines show the layer lines with . One can see diffraction peaks centered at  (j = 0; n = 0, ±1, ±2, ±3, ±5 and j = ±1, n = 0). K-coordinates of these peaks correspond to the maxima of the Bessel functions . The absence of diffraction peaks at j = 0, n = ±4 suggests that  This pattern is consistent with the one expected for a double helix with a radius a≈10 Å, a helical pitch ≈34 Å, ≈10 base pairs per helical turn and an azimuthal half-width ≈0.38π of the minor groove [Equations (1–8)]. Positions of the diffraction peaks may be explained within the ideal double-helix model [Equation (4)], but their meridional (kz) broadening cannot be attributed just to experimental factors, suggesting a significant contribution from the non-ideal helical structure of DNA [Equations (6–8)]. Indeed, the X-ray beam width should have a similar broadening effect on all layer lines. Its contribution to the diffraction peaks with n = ±3 and ±5 should be negligible, because the latter peaks are much broader than the peaks with n = ±1. The non-linear response of X-ray films might result in additional broadening of the more intense n = ±1, ±2, ± 3 peaks, but not the n =±5 peaks. The broadening of the n = ±5 peaks is also inconsistent with smearing along concentric arcs due to an imperfect vertical alignment of the molecules in the fibers. The contribution of this smearing, which was estimated based on the arcing of the n, j = 0 peaks, appears to be small and is consistent with the expected effect of thermal undulations of DNA (Figures 1 and 5). Thus, kz-cross-sections of the n=±5 peaks in the Franklin and Gosling pattern may be compared with the predictions of our model [Equations (7,8)], while unknown contributions of the x-ray beam width, film nonlinearity and imperfect DNA alignment may significantly affect the other peaks. This analysis yields information about the helical coherence of DNA, as discussed in the text and illustrated in Figure 5. Future studies of structural adaptation of DNA from kz-cross-sections of the other peaks might also be possible, provided that the contribution of experimental factors can be reduced or deconvoluted from the effects of sequence-related and thermal variations in the structure of the double helix.
ROCO_87765	 Locations with pain and/or discomfort. The group pulled probabilities of locations with pain or discomfort during cycling tasks in five temporal windows in a given sample (n = 15). As time on task increases (vertical axis) the number of locations and the probability of experiencing pain and discomfort at selective locations also increase (darker shades of gray) on average. Legend: the probability of experiencing discomfort and pain.
ROCO_87766	 Identification of individual landmarks used for linear and angular (GIC-red, GC-CC′-blue) measurements.
ROCO_87768	 A growing body of literature backs up the folk wisdom of staying calm for the sake of the baby.© Ugurhan Betin/iStockphoto
ROCO_87769	 Uterine horn (black arrow) is attached to the unicornuate uterus (white arrow) by a small band of tissue (grey arrow).
ROCO_87770	 Hysteroscopic image of retained fibrous capsule after the removal of the retained IUD.
ROCO_87771	 The cyst moves when the gaze is shifted to the right or left, allowing visualization of the macula
ROCO_87773	 Case No. 582. After shifting the foot backward with a simple stabilization.
ROCO_87774	 Post-therapy whole-body scan (WBS) - after ablative dose of radioiodine - showing uptake only in the thyroid bad.
ROCO_87775	 Mobile camera robot provides visual feedback for cholecystectomy as viewed by laparoscope
ROCO_87776	 Intravaginal curcumin on the cervix.
ROCO_87778	 Specimen exhibits one large subscapularis recess immediately above the middle glenohumeral ligament. Superior, middle and inferior glenohumeral ligaments are well defined. Note the intimate relationship of the biceps tendon and the glenohumeral ligament as they blend with the labrum glenoidale. There is early recession of the labrum from the brim of the upper half of the glenoid cavity.
ROCO_87779	 Fluorescence micrograph of a vitellogenic follicle that had been exposed in situ to fluorescein-labeled rabbit serum globulin. The probe had been injected into the hemolymph of a pharate adult Hyalophora female. Fluorescence is present in a continuous zone of protein yolk spheres that had been produced during a 24 hour incubation. The labeled yolk spheres had not mixed with the cohesive core of nonf-luorescent yolk spheres that had been produced prior to injection of the probe. The follicle was frozen and sectioned in a droplet of hemolymph whose fluorescence is visible on the lower right.
ROCO_87780	 Low magnification of fracture surface of #1 screws (500 μm).
ROCO_87781	 Vascular and cheese-like areas interspersed with hemorrhagic spots on parietal pleural surface
ROCO_87782	 Axial CT of Femur demonstrating large lytic area in the medial femoral condyle.
ROCO_87783	 Case 1—Diffuse erythema and thickening of right true cord.
ROCO_87784	 IOUS image showing sluggish flow in the portal vein by B mode, stenosis at the origin of the left hepatic vein (short arrow) and residual proximal thrombus in the portal vein extending to the superior mesenteric and splenic veins.
ROCO_87786	 Schematic drawing of the central and standard tunnel positions in anatomical single-bundle anterior cruciate ligament reconstructions. AM: anteromedial bundle, PL: posterolateral bundle.
ROCO_87787	 Typical white cloud appearance of the subacromial space after excision of the calcific deposits from the tendon
ROCO_87788	 Substrate with fume sample collected by the ELPI
ROCO_87789	 Retrieval of gallstones in case 1.
ROCO_87790	 Wuhan Sports Center (http://www.wuhansport.com/).
ROCO_87791	 Retained angioplasty balloon (white arrows) and attempted retrieval angioplasty balloon (red arrows).
ROCO_87793	 Anterior lens changes.
ROCO_87794	 Graf ligamentoplasty system (left) and application on the lumbar spine model.
ROCO_87795	 The starlet sea anemone.The cnidarians, such as the starlet sea anemone (N. vectensis) shown here, have a body form that is very different to the bilaterally symmetrical form found in most other animals. Anemones have a mouth surrounded by tentacles at one end and a foot that attaches to the substrate at the other. Hudry et al. have shown that, despite such a difference in general body form, the Hox-TALE system that operates in the development of cnidarians functions in a similar fashion to the Hox-TALE system of flies and mice.
ROCO_87796	 One 3-mm and one 5-mm trocar were inserted through the umbilicus.
ROCO_87797	 3D reconstruction of cervical spine and head
ROCO_87798	 Oblique plication, first step.
ROCO_87800	 Dirhinus pilifer Boucek & Narendran
ROCO_87801	 Morcellated spleen after laparoscopic splenectomy.
ROCO_87802	 In line flow through stent opposed retained angioplasty balloon.
ROCO_87803	  Isodoses of the prescribed dose (47.8 Gy) in the target volume decreasing to the periphery and to the ovaries (in black circles) to < 2 Gy between second (L2) and third (L3) lumbar vertebrar. Selective dose reduction within the intact uterus from 40 Gy (A) to 30 Gy (B) in the periphery to 20 Gy (C) in the inner layer of the myometrium and endometrium.
ROCO_87804	 Histological aspect of sample #3, a fresh tendon (hematoxylin-eosin, 40 X).
ROCO_87805	 Transfixation of the biceps tendon with double-row repair suture approximately 1.0 cm from its origin.
ROCO_87806	 Streptococcus equi showing beta hemolysis on blood agar.
ROCO_87807	 Anastomosis practice on TS. Red balloon (left): running end-to-end. Yellow balloon (right): running straight.
ROCO_87808	 In-lens SEM image of a crack in the 10 + 48 h heated LGS substrate. The dashed line serves as guide to the eye for the interface between LGS substrate and protection layer which was deposited for the FIB process.
ROCO_87809	 Anterior segment of the right eye in patient II-1. A severe cortical and anterior subcapsular cataract is present at the age of 29 years.
ROCO_87811	 Left sided view of pterygopalatine fossa through pterygomaxillary fissure
ROCO_87812	 Haas expander
ROCO_87813	 Francis Bacon—Portrait of Henrietta Moraes on a Blue Couch, 1965, an example of disfigured face and body. © The Estate of Francis Bacon. All rights reserved. DACS 2013.
ROCO_87814	 Evelina Domnitch and Dmitry Gelfand, “Luminiferous Drift,” 2016.
ROCO_87816	 Dental film fixed in a film holder attached to the posterior region of a dry mandible with buccal interposition of acrylic in order to simulate soft tissue
ROCO_87817	 Front view
ROCO_87819	 Showing mucopurulent discharge, swollen lids and mechanical ptosis
ROCO_87820	 Cystoscopy showed encrusted plastic pen inside the bladder extending from right anterior bladder wall up to left posterior bladder wall.
ROCO_87824	 The polygon that defines the airway region analyzed in this study was obtained by joining the following landmarks: posterior nasal spine, basion, anterior inferior border of the fourth cervical vertebra (C4), inferior border of the hyoid bone, center of the uvula, and posterior nasal spine again
ROCO_87825	 A 6-mm coronal slab maximum intensity projection CT angiogram. The four divisions of the vertebral artery are illustrated. The maximum diameter of the left vertebral artery is measured as 4.1 mm. There is dissection of the V3 segment between the arrows with aneurysm formation at the origin of the dissection and irregular stenosis of the lumen which becomes normal as the artery pierces the dura
ROCO_87826	 B-scan (a), A-scan (b). A typical section of the forearm is shown in a, where the red lines indicate the surface of the skin as well as the boundary to the dermal layer. A representative A-scan in linear scale is seen in b.
ROCO_87827	 The natural 5/6 island chain.The 5/6 island chain is visible in a poloidal-radial Poincaré plot created by an electron gun and a sweep rod, as a set of six ‘bubbles', reflecting the m=6 poloidal mode number. A thin background gas in the chamber creates a visualization of the field lines that create the x-points of the island chain.
ROCO_87828	 Creation of an ostium with a laser.
ROCO_87830	 Integrated landscape value distribution map.
ROCO_87831	 Showing the first patient intubated orotracheally. The tube came out of the proximal airway defect which was guided into the open distal tracheal rent.
ROCO_87832	 Shadow underneath the vehicle is covered by the shadow under the overhead bridge.
ROCO_87834	 A ‘L’ bend is given.
ROCO_87835	 Repeat MRI of brain after recovery.
ROCO_87836	 Uterine cornua seen at microlaparoscopy with salpingitis isthmica nodosa nodule revealing serosal extravasation of methylene blue.
ROCO_87837	 Index finger inserted to dilate the facial incision and to separate peri-umbilical adhesions.
ROCO_87838	 Renal graft reperfused rapidly and uniformly. The arrow shows renal vein (RV) interrupted stitches.
ROCO_87839	 Example of measurements of fWHR as upper bizygomatic width (line a–b) versus facial height (c–d) in a fallen Finnish soldier. (available at source)
ROCO_87840	 Showing tuberculous ulcer of glans penis. Reproduced from [5] D. K. Pal, A. K. Kundu, S. Chakraborty, S. Das, “Tuberculosis of Penis: Report of Two Cases” Ind. J Tub vol. 43, 203-204, 1996. Copy right Indian Journal of Tuberculosis. Reproduced with permission granted by the editor of the journal, who stated that permission to make a copy of the paper has been granted subject to the following: (1) the paper should only be used for academic and research purposes and not for profit/business. (2) Permission is given with the proviso that the Indian Journal of Tuberculosis is cited as the source of the figure. The original copy right is retained by Indian Journal of Tuberculosis and any request to use or reproduce the figure would require permission from the Indian Journal of Tuberculosis.
ROCO_87841	 Sectorial peritoneal 99mTc-Phytate scintigraphy post-peritoneal lavage image over anatomical reference contour showing the right inguinal and scrotal uptake of radiotracer (head arrow) and left inguinal uptake (arrow).
ROCO_87842	 Undifferentiated canine adipose-derived stem cells
ROCO_87843	 KOH scraping showing multiple eggs and fecal pellets
ROCO_87844	 (I) T piece attached to the tracheostome (II) Ventilator circuit tied to the T piece
ROCO_87845	 Estimated travel time to clinic and resulting catchments of the six government clinics within the surveillance area offering ANC by residency type.
ROCO_87846	 Relationship between the adult neurogenic niches and glioblastoma-initiating cells. GICs (light purple) have been found to play an important role in GBM aggressiveness and the resistance of the tumor to current treatments, making them an attractive target for therapeutic interventions. However, the design of new GIC inhibitors has proven difficult because their definition is nowadays still confused by the twilight zone of their origin. Indeed, whether GICs are derived from NPCs (yellow) or differentiated/mature cells remains uncertain. In any case, the vascular niche offered by the brain SVZ might be of interest to maintain GICs’ features, even if they are not indigenous. Undoubtedly, particular characteristics of this specific niche and its localization away from the tumor mass make it a significant resource for tumor recurrence. It is expected that future therapies targeting GBM, GICs and their specific environment will help to increase the dramatic survival rate of GBM patients.
ROCO_87847	 Cibarial armature of Anopheles gambiae s.l.
ROCO_87849	 Clitoromegaly
ROCO_87850	 Clinical photograph showing a case of spring catarrh
ROCO_87852	 Tandem-cylinder dose distributions are shown in an anatomical cross-section. Both sides have similar doses as has been expected observed
ROCO_87853	 Colonies of Candida species
ROCO_87854	 Study area: palaeogeographic map of the Early Cretaceous showing the location of the Paraná-Etendeka LIP, the Polish, Lombardian and the Vocontian Basins.(Figure modified from R. Blakey, http://cpgeosystems.com/euromaps.html).
ROCO_87857	 MicroCT transverse image of a typical specimen following fracture showing characteristic traumatic fracture pattern.
ROCO_87858	 Cecum after delivery from the abdominal wall hernia. Note deserosalized area in center of picture.
ROCO_87859	 Digitised image from pre-operative plan of an anatomical glenoid component, displaying peg penetration from the vault posteriorly.(From Zimmer-Biomet software; with permission).
ROCO_87860	 Forster Green (1815–1903)
ROCO_87864	 Evaluation of SCJ with saline solution.
ROCO_87865	 Coronal, sagittal and axial view of the two mandibular ramus.
ROCO_87866	 Patient 2 - At week 15 showing complete hair growth
